ProductID,ProductName,Category,Price,Stock,Supplier
1,Product_1,Home,647.61,197,SupplierC
2,Product_2,Home,184.16,472,SupplierC
3,Product_3,Home,885.89,126,SupplierC
4,Product_4,Books,96.59,43,SupplierC
5,Product_5,Electronics,987.55,414,SupplierA
6,Product_6,Electronics,398.05,280,SupplierC
7,Product_7,Home,172.75,351,SupplierB
8,Product_8,Home,609.68,54,SupplierC
9,Product_9,Books,867.04,28,SupplierB
10,Product_10,Books,403.12,239,SupplierB
11,Product_11,Clothing,18.51,290,SupplierA
12,Product_12,Toys,873.54,331,SupplierC
13,Product_13,Electronics,585.51,79,SupplierC
14,Product_14,Electronics,101.94,328,SupplierA
15,Product_15,Books,906.97,204,SupplierC
16,Product_16,Toys,775.48,75,SupplierA
17,Product_17,Books,537.32,345,SupplierB
18,Product_18,Clothing,452.3,398,SupplierA
19,Product_19,Clothing,708.84,323,SupplierC
20,Product_20,Clothing,368.54,304,SupplierA
21,Product_21,Books,658.3,201,SupplierA
22,Product_22,Toys,159.4,431,SupplierB
23,Product_23,Home,151.01,43,SupplierA
24,Product_24,Electronics,317.95,37,SupplierC
25,Product_25,Home,886.95,111,SupplierB
26,Product_26,Toys,851.83,267,SupplierB
27,Product_27,Books,497.19,315,SupplierA
28,Product_28,Books,589.62,213,SupplierC
29,Product_29,Books,631.32,421,SupplierA
30,Product_30,Clothing,379.46,191,SupplierA
31,Product_31,Clothing,704.31,349,SupplierA
32,Product_32,Clothing,612.07,14,SupplierA
33,Product_33,Home,360.82,291,SupplierC
34,Product_34,Electronics,291.03,68,SupplierB
35,Product_35,Books,980.95,240,SupplierA
36,Product_36,Books,291.45,451,SupplierB
37,Product_37,Home,182.31,89,SupplierC
38,Product_38,Electronics,836.25,170,SupplierA
39,Product_39,Electronics,812.73,274,SupplierB
40,Product_40,Home,246.37,77,SupplierC
41,Product_41,Books,850.21,346,SupplierB
42,Product_42,Toys,912.54,119,SupplierB
43,Product_43,Toys,338.43,165,SupplierC
44,Product_44,Electronics,335.28,281,SupplierA
45,Product_45,Electronics,139.64,105,SupplierB
46,Product_46,Books,614.72,214,SupplierB
47,Product_47,Electronics,697.05,361,SupplierC
48,Product_48,Home,82.66,497,SupplierA
49,Product_49,Toys,216.82,432,SupplierA
50,Product_50,Toys,277.71,316,SupplierB
51,Product_51,Electronics,451.6,321,SupplierA
52,Product_52,Home,825.45,204,SupplierB
53,Product_53,Electronics,231.99,139,SupplierA
54,Product_54,Electronics,809.51,228,SupplierB
55,Product_55,Home,890.94,359,SupplierC
56,Product_56,Home,208.53,291,SupplierB
57,Product_57,Clothing,992.95,450,SupplierC
58,Product_58,Toys,521.59,323,SupplierA
59,Product_59,Electronics,556.3,414,SupplierA
60,Product_60,Books,619.92,296,SupplierC
61,Product_61,Electronics,804.77,155,SupplierA
62,Product_62,Electronics,656.72,487,SupplierC
63,Product_63,Books,737.51,202,SupplierC
64,Product_64,Toys,445.31,430,SupplierB
65,Product_65,Clothing,594.06,439,SupplierB
66,Product_66,Home,254.63,234,SupplierB
67,Product_67,Clothing,369.61,463,SupplierC
68,Product_68,Electronics,635.27,229,SupplierB
69,Product_69,Electronics,50.6,284,SupplierC
70,Product_70,Books,582.85,14,SupplierB
71,Product_71,Books,555.22,340,SupplierB
72,Product_72,Electronics,194.83,141,SupplierC
